Preguntas	Respuestas correctas
1. Bаня любит котлеты, а я жареную картошку, мы любим ... блюда.	разные
2. В этой компании совсем ... требования к специалистам.	другие
3. Мой ... брат поступил в университет.	старший
4. Для таких цветов, как азалии, подходит ... температура.	низкая
5. Мой муж всегда пьёт ... чай.	крепкий
6. Эта задача очень ... . Школьник решал её несколько часов. 	трудная
7. Для нашей семьи Рождество - очень важный ... .	праздник
8. Преподаватель внимательно ... на студента и ждал его объяснения.	смотрел
9. Пациент сказал врачу, что раньше он ... лучше даже без очков. 	видел
10. Лекция ... полтора часа.	продолжается
11. Нет, я не могу пойти в кино. Мне нужно ... свою квартиру.	убирать
12. Я плохо ... новые слова.	запоминаю
13. Родители ... новый диван к стене.	поставили
14. Маленькая девочка ... плавать в бассейне. 	учится
15. Папа ... сына играть на гитаре.	научил
16. Перед ... небольшой сад.	домом
17. Я вернусь домой после ... .	двух часов
18. Надо напомнить ... о встрече.	лучшей подруге
19. Гостиница находится на берегу ... .	Суходольского озера
20. Вчера я встретился с другом ... .	в Михайловском дворце
21. Зрители тепло встречали ... . 	известную актрису
22. Нобелевскую премию получил ... .	китайский писатель
23. Анна очень обиделась ... .	на бывшего мужа
24. Для получения визы можно обратиться ... .	в финское консульство
25. Журналист говорил ... литературы.	о большом значении
26. Преподаватель объяснял падежи ... .	новой студентке
27. Купи, пожалуйста, бутылку ... .	свежего молока
28. Михаил учился в архитектурном институте, много работал и стал ... .	замечательным архитектором
29. Футбольные фанаты не согласны ... судьи.	с решением
30. Нельзя обижать ... .	маленьких
31. В детстве мой брат часто ... .	болел
32. О, звонок! Скоро ... спектакль. 	начнётся
33. Дети не любят ... лекарства.	принимать
34. Журналист поблагодарил президента за интервью и ... .	попрощался
35. Мы должны ... этот экзамен хорошо, чтобы получить стипендию.	сдать
36. Вчера Виктор ..., что завтра позвонит родителям.	пообещал
37. Политики ... на вопросы журналистов 2 часа.	отвечали
38. Секретари всегда ... на вопросы клиентов.	отвечали
39. Мы не хотим подписывать контракт. Вы не ... на наши вопросы.	ответили
40. Студенты ... на все вопросы теста и получили следующее задание.	ответили
41. Виктор долго ... костюм для интервью.	выбирал
42. Когда я ... цветы для Ольги, Сергей ждал меня.	выбирал
43. Покупатель ... книгу и заплатил за неё.	выбрал
44. Когда брат ... подарок для своей невесты, он советовался со мной.	выбирал
45. Я не люблю ... на машине по центру города.	ездить
46. Вчера Сергей ... к нам в гости.	приходил
47. Вы уже ... в Эрмитаж?	ходили
48. Сколько времени самолёт ... в Москву?	летит
49. Твой друг часто ... в Лондон.	летает
50. Сегодня Анна ... в Сингапур.	летит
51. Куда Оля ... в отпуск каждый год?	летает
52. Я заболела, и друг ... лекарство.	принёс
53. Смотри, куда ... этот человек?	плывёт
54. Очень рады вас видеть. ..., пожалуйста.	Проходите
55. Машина ... к большому озеру.	подъехала
56. Антона сейчас нет на работе, он ... в командировку на несколско дней.	уехал
57. По дороге на работу я ... к подруге. 	заехала
58. Я должен ... детей в школу на машине, так как сегодня метро закрыто.	отвезти
59. В какое время ты обычно ... из дома?	выходишь
60. Мы видим людей, которым ... .	задают вопросы
61. Мы видим людей, которых ... .	спрашивают о чём-то
62. Я хочу показать тебе фотографию подруги, ... я много рассказывал.	о которой
63. Это девушка, ... я учился в школе. 	с которой
64. В комнате жарко, ... мы отрыли окно.	поэтому
65. Лифт не работает, ... нам нужно идти пешком на седьмой этаж.	поэтому
66. Я часто пишу родителям, ... скучаю по дому.	потому что
67. Я попросила друга, ... он объяснил мне задачу.	чтобы
68. Друг сказал, ... задача трудная.	что
69.  Я думаю, ... написала тест хорошо. 	что
70. Преподаватель попросил, ... мы внимательно проверили свои работы.	чтобы
71. Николай не знает, ... .	пойдёт ли он в кино
72. Я куплю ему билет, ... .	если он пойдёт в кино
73. Аня спросила Бориса, ... .	пойдёт ли он в кино
74. Я буду очень рада, ... .	если он пойдёт в кино
75. Я приду домой с работы и ... готовить ужин.	начну